match no,runs,NotOut,mins,bf,fours,sixes,sr,Inns,Opp,Ground,Date
181,0,0,5,5,0,0,0,1,Sri Lanka,The Oval,08-Jun-17
182,76,1,136,101,7,1,75.24,2,South Africa,The Oval,11-Jun-17
183,96,1,96,78,13,0,123.07,2,Bangladesh,Birmingham,15-Jun-17
184,5,0,11,9,0,0,55.55,2,Pakistan,The Oval,18-Jun-17
185,32,1,-,47,1,0,68.08,1,West Indies,Port of Spain,23-Jun-17
186,87,0,-,66,4,4,131.81,1,West Indies,Port of Spain,25-Jun-17
187,11,0,-,22,2,0,50,1,West Indies,North Sound,30-Jun-17
188,3,0,-,12,0,0,25,2,West Indies,North Sound,02-Jul-17
189,111,1,-,115,12,2,96.52,2,West Indies,Kingston,06-Jul-17
190,82,1,-,70,10,1,117.14,2,Sri Lanka,Dambulla,20-Aug-17
191,4,0,-,2,1,0,200,2,Sri Lanka,Pallekele,24-Aug-17
192,3,0,-,11,0,0,27.27,2,Sri Lanka,Pallekele,27-Aug-17
193,131,0,-,96,17,2,136.45,1,Sri Lanka,Colombo (RPS),31-Aug-17
194,110,1,-,116,9,0,94.82,2,Sri Lanka,Colombo (RPS),03-Sep-17
195,0,0,7,4,0,0,0,1,Australia,Chennai,17-Sep-17
196,92,0,148,107,8,0,85.98,1,Australia,Kolkata,21-Sep-17
197,28,0,58,35,2,0,80,2,Australia,Indore,24-Sep-17
198,21,0,23,21,3,0,100,2,Australia,Bengaluru,28-Sep-17
199,39,0,73,55,2,0,70.9,2,Australia,Nagpur,01-Oct-17
200,121,0,203,125,9,2,96.8,1,New Zealand,Mumbai,22-Oct-17
201,29,0,40,29,3,1,100,2,New Zealand,Pune,25-Oct-17
202,113,0,166,106,9,1,106.6,1,New Zealand,Kanpur,29-Oct-17
203,112,0,164,119,10,0,94.11,2,South Africa,Durban,01-Feb-18
204,46,1,64,50,4,1,92,2,South Africa,Centurion,04-Feb-18
205,160,1,220,159,12,2,100.62,1,South Africa,Cape Town,07-Feb-18
206,75,0,119,83,7,1,90.36,1,South Africa,Johannesburg,10-Feb-18
207,36,0,76,54,2,0,66.66,1,South Africa,Port Elizabeth,13-Feb-18
208,129,1,123,96,19,2,134.37,2,South Africa,Centurion,16-Feb-18
209,75,0,-,82,7,0,91.46,2,England,Nottingham,12-Jul-18
210,45,0,-,56,2,0,80.35,2,England,Lord's,14-Jul-18
211,71,0,98,72,8,0,98.61,1,England,Leeds,17-Jul-18
212,140,0,-,107,21,2,130.84,2,West Indies,Guwahati,21-Oct-18
213,157,1,217,129,13,4,121.7,1,West Indies,Visakhapatnam,24-Oct-18
214,107,0,-,119,10,1,89.91,2,West Indies,Pune,27-Oct-18
215,16,0,-,17,2,0,94.11,1,West Indies,Mumbai (BS),29-Oct-18
216,33,1,57,29,6,0,113.79,2,West Indies,Thiruvananthapuram,01-Nov-18
217,3,0,10,8,0,0,37.5,2,Australia,Sydney,12-Jan-19
218,104,0,150,112,5,2,92.85,2,Australia,Adelaide,15-Jan-19
219,46,0,-,62,3,0,74.19,2,Australia,Melbourne,18-Jan-19
220,45,0,59,59,3,0,76.27,2,New Zealand,Napier,23-Jan-19
221,43,0,59,45,5,0,95.55,1,New Zealand,Mount Maunganui,26-Jan-19
